,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,0.7653637122504622,0.9364944251693788,0.6820094733329387,0.8473863352604274,0.9755894346429639,M
45,0.4412074868360123,0.13805108105260716,0.38812167416985877,0.16731093147726608,0.3065536592871822,R
46,0.7075681606504021,0.5649005884891286,0.6336488720117718,0.9908492924137355,0.6104051335006218,M
47,0.5790330348464252,0.8567638560566078,0.9015645033768365,0.5946357908341827,0.5497815375820925,M
48,0.18664172703714368,0.15952694109775165,0.2688083485489603,0.18904875693921214,0.46234731874374324,R
49,0.07036799292756192,0.2800472829758902,0.45923244890150056,0.09720127290433976,0.5324464094219148,R
50,0.8752462618100014,0.8984958849225348,0.8855872063284469,0.5892243530884143,0.7647267746395137,M
51,0.47258587468522456,0.2826583361621218,0.26399346443016947,0.4882621414970935,0.0977100048882896,R
52,0.13707067027514028,0.2852760635249455,0.3168386812082721,0.2204041476685843,0.31581786837501585,R
53,0.5664740338596772,0.46467776217344836,0.7017756522872609,0.5726593855267967,0.4587446232491214,M
54,0.381208871674446,0.1597895357363974,0.02527471660386412,0.38204411292311663,0.031128431214915313,R
55,0.24571721444694508,0.44383489924026914,0.08934392797386803,0.4969237401941451,0.5521052024028821,R
56,0.5380967578843256,0.3038928056377094,0.333258301162307,0.5444323838587812,0.038526964103036576,R
